group_id,payload_level,encryption,payload_path,payload_stream_bits,fill_rate,bit_depth,aes_iv,aes_key_id,seed
1,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0001__p-low__e-plain.bin,65536,0.25,1,8b464fa95e1f739c4d0cc82fecf38123,aes256cbc-v1,42
1,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0001__p-low__e-encrypted.bin,65536,0.25,1,8b464fa95e1f739c4d0cc82fecf38123,aes256cbc-v1,42
2,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0002__p-low__e-plain.bin,65536,0.25,1,5b95e7a18979205b07d5ed9a690405c5,aes256cbc-v1,42
2,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0002__p-low__e-encrypted.bin,65536,0.25,1,5b95e7a18979205b07d5ed9a690405c5,aes256cbc-v1,42
3,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0003__p-low__e-plain.bin,65536,0.25,1,14db7450e5d4cd64c8ddabedeb4555af,aes256cbc-v1,42
3,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0003__p-low__e-encrypted.bin,65536,0.25,1,14db7450e5d4cd64c8ddabedeb4555af,aes256cbc-v1,42
4,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0004__p-low__e-plain.bin,65536,0.25,1,47a3ebcf2d5204564ee73fd7c72feddd,aes256cbc-v1,42
4,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0004__p-low__e-encrypted.bin,65536,0.25,1,47a3ebcf2d5204564ee73fd7c72feddd,aes256cbc-v1,42
5,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0005__p-low__e-plain.bin,65536,0.25,1,38523b12e2f16c515fa844110768abfd,aes256cbc-v1,42
5,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0005__p-low__e-encrypted.bin,65536,0.25,1,38523b12e2f16c515fa844110768abfd,aes256cbc-v1,42
6,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0006__p-low__e-plain.bin,65536,0.25,1,c4ba4e94c73fcd91f98662ea220725d7,aes256cbc-v1,42
6,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0006__p-low__e-encrypted.bin,65536,0.25,1,c4ba4e94c73fcd91f98662ea220725d7,aes256cbc-v1,42
7,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0007__p-low__e-plain.bin,65536,0.25,1,9c74f88b2a8ba6b9c81602b4a2170859,aes256cbc-v1,42
7,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0007__p-low__e-encrypted.bin,65536,0.25,1,9c74f88b2a8ba6b9c81602b4a2170859,aes256cbc-v1,42
8,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0008__p-low__e-plain.bin,65536,0.25,1,19a83a01ee517c47ffb7553ecd523418,aes256cbc-v1,42
8,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0008__p-low__e-encrypted.bin,65536,0.25,1,19a83a01ee517c47ffb7553ecd523418,aes256cbc-v1,42
