group_id,payload_level,encryption,payload_path,payload_stream_bits,fill_rate,bit_depth,aes_iv,aes_key_id,seed
9,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0009__p-low__e-plain.bin,65536,0.25,1,11e60b997bd778f833dc4ed8e2178fcc,aes256cbc-v1,42
9,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0009__p-low__e-encrypted.bin,65536,0.25,1,11e60b997bd778f833dc4ed8e2178fcc,aes256cbc-v1,42
10,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0010__p-low__e-plain.bin,65536,0.25,1,7ad21654033b9158a278dd4bc97f2e7e,aes256cbc-v1,42
10,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0010__p-low__e-encrypted.bin,65536,0.25,1,7ad21654033b9158a278dd4bc97f2e7e,aes256cbc-v1,42
11,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0011__p-low__e-plain.bin,65536,0.25,1,ae9a548211e0de65fc3a8cb5fc13c1c8,aes256cbc-v1,42
11,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0011__p-low__e-encrypted.bin,65536,0.25,1,ae9a548211e0de65fc3a8cb5fc13c1c8,aes256cbc-v1,42
12,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0012__p-low__e-plain.bin,65536,0.25,1,002d3e12c9068d638008333cab052591,aes256cbc-v1,42
12,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0012__p-low__e-encrypted.bin,65536,0.25,1,002d3e12c9068d638008333cab052591,aes256cbc-v1,42
13,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0013__p-low__e-plain.bin,65536,0.25,1,0d06e06a133ee8042b67e7ed4e1359c5,aes256cbc-v1,42
13,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0013__p-low__e-encrypted.bin,65536,0.25,1,0d06e06a133ee8042b67e7ed4e1359c5,aes256cbc-v1,42
14,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0014__p-low__e-plain.bin,65536,0.25,1,5052b900a5655fde5398633784605bae,aes256cbc-v1,42
14,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0014__p-low__e-encrypted.bin,65536,0.25,1,5052b900a5655fde5398633784605bae,aes256cbc-v1,42
15,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0015__p-low__e-plain.bin,65536,0.25,1,ec1c8a1f3446a643171b2d9f1e090f4e,aes256cbc-v1,42
15,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0015__p-low__e-encrypted.bin,65536,0.25,1,ec1c8a1f3446a643171b2d9f1e090f4e,aes256cbc-v1,42
16,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0016__p-low__e-plain.bin,65536,0.25,1,d293ef03b7e9774e2e5bd71352a497b8,aes256cbc-v1,42
16,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0016__p-low__e-encrypted.bin,65536,0.25,1,d293ef03b7e9774e2e5bd71352a497b8,aes256cbc-v1,42
17,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0017__p-low__e-plain.bin,65536,0.25,1,32ecf15fde17e4e5cb9a84f0b4e0ab25,aes256cbc-v1,42
17,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0017__p-low__e-encrypted.bin,65536,0.25,1,32ecf15fde17e4e5cb9a84f0b4e0ab25,aes256cbc-v1,42
18,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0018__p-low__e-plain.bin,65536,0.25,1,0839b38fb2b7b462526c3fa1bbf41701,aes256cbc-v1,42
18,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0018__p-low__e-encrypted.bin,65536,0.25,1,0839b38fb2b7b462526c3fa1bbf41701,aes256cbc-v1,42
19,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0019__p-low__e-plain.bin,65536,0.25,1,0e39ab0237523dfe9d6debb3e5f32fe5,aes256cbc-v1,42
19,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0019__p-low__e-encrypted.bin,65536,0.25,1,0e39ab0237523dfe9d6debb3e5f32fe5,aes256cbc-v1,42
20,low,plain,runs/prototype_20260326_192053_p8766/payloads/plain/low/g0020__p-low__e-plain.bin,65536,0.25,1,fd0d88f0c5a7c6557e04c5ce71bd3189,aes256cbc-v1,42
20,low,encrypted,runs/prototype_20260326_192053_p8766/payloads/encrypted/low/g0020__p-low__e-encrypted.bin,65536,0.25,1,fd0d88f0c5a7c6557e04c5ce71bd3189,aes256cbc-v1,42
