detector,source,method,payload_level,encryption,n_samples,n_pos,n_neg,roc_auc,auc_se,ci_lower,ci_upper
chi_square_spatial,ml_a,lsb,low,encrypted,40,20,20,0.6425,0.090488,0.465143,0.819857
chi_square_spatial,ml_a,lsb,low,plain,40,20,20,0.6425,0.090488,0.465143,0.819857
chi_square_spatial,ml_b,lsb,low,encrypted,40,20,20,0.69125,0.08508,0.524493,0.858007
chi_square_spatial,ml_b,lsb,low,plain,40,20,20,0.69625,0.084809,0.530024,0.862476
chi_square_spatial,real,lsb,low,encrypted,40,20,20,0.6975,0.084484,0.531912,0.863088
chi_square_spatial,real,lsb,low,plain,40,20,20,0.7025,0.084093,0.537677,0.867323
rs,ml_a,lsb,low,encrypted,40,20,20,1.0,0.0,1.0,1.0
rs,ml_a,lsb,low,plain,40,20,20,1.0,0.0,1.0,1.0
rs,ml_b,lsb,low,encrypted,40,20,20,1.0,0.0,1.0,1.0
rs,ml_b,lsb,low,plain,40,20,20,1.0,0.0,1.0,1.0
rs,real,lsb,low,encrypted,40,20,20,0.985,0.014142,0.957281,1.012719
rs,real,lsb,low,plain,40,20,20,0.985,0.013179,0.959169,1.010831
sample_pairs,ml_a,lsb,low,encrypted,40,20,20,1.0,0.0,1.0,1.0
sample_pairs,ml_a,lsb,low,plain,40,20,20,1.0,0.0,1.0,1.0
sample_pairs,ml_b,lsb,low,encrypted,40,20,20,1.0,0.0,1.0,1.0
sample_pairs,ml_b,lsb,low,plain,40,20,20,1.0,0.0,1.0,1.0
sample_pairs,real,lsb,low,encrypted,40,20,20,0.9675,0.032957,0.902904,1.032096
sample_pairs,real,lsb,low,plain,40,20,20,0.9675,0.032957,0.902904,1.032096
