experiment,detector,method,payload_level,delta_real,delta_ml_mean,diff,se,ci_lo,ci_hi,z,p
exp5_rq5_source_x_encryption,chi_square_spatial,lsb,low,0.0050000000000000044,0.0024999999999999467,0.0025000000000000577,0.009248043889897658,-0.01562616602419935,0.020626166024199467,0.27032743678163096,0.7869083593356532
exp5_rq5_source_x_encryption,rs,lsb,low,0.0,0.0,0.0,0.005129891760425774,-0.010054587850434516,0.010054587850434516,0.0,1.0
exp5_rq5_source_x_encryption,sample_pairs,lsb,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
