experiment,detector,source,method,payload_level,auc_a,auc_b,diff,se,ci_lo,ci_hi,z,p,n_a,n_b,n_pos_a,n_neg_a,n_pos_b,n_neg_b
exp5_rq5_plain_vs_encrypted,chi_square_spatial,ml_a,lsb,low,0.6425,0.6425000000000001,-1.1102230246251565e-16,0.008885233166386626,-0.0174150570061179,0.017415057006117677,-1.2495147891280977e-14,0.99999999999999,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,chi_square_spatial,ml_b,lsb,low,0.69625,0.69125,0.0050000000000000044,0.007947194142390434,-0.010576500519085246,0.020576500519085255,0.6291528696058828,0.529248980665906,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,chi_square_spatial,real,lsb,low,0.7025,0.6975,0.0050000000000000044,0.007071067811865331,-0.008859292911256044,0.018859292911256053,0.7071067811865626,0.47950012218694416,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,rs,ml_a,lsb,low,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,rs,ml_b,lsb,low,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,rs,real,lsb,low,0.985,0.985,0.0,0.005129891760425774,-0.010054587850434516,0.010054587850434516,0.0,1.0,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,sample_pairs,ml_a,lsb,low,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,sample_pairs,ml_b,lsb,low,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40,40,20,20,20,20
exp5_rq5_plain_vs_encrypted,sample_pairs,real,lsb,low,0.9674999999999999,0.9674999999999999,0.0,0.0,0.0,0.0,0.0,1.0,40,40,20,20,20,20
