experiment,detector,method,payload_level,source,encryption,n_pos_a,n_neg_a,n_pos_b,n_neg_b,auc_a,auc_b,diff,se,ci_lo,ci_hi,z,p,p_holm,significant_holm_0_05
exp1_rq1_real_vs_pooled_ml,chi_square_spatial,lsb,low,,,40,40,80,80,0.7,0.6578125,0.04218749999999993,0.07307629265180375,-0.10104203359753541,0.18541703359753528,0.5773076119366958,0.5637316724880572,0.5637316724880572,False
exp1_rq1_real_vs_pooled_ml,rs,lsb,low,,,40,40,80,80,0.985,1.0,-0.015000000000000013,0.00945637757934173,-0.0335345000555098,0.0035345000555097768,-1.5862310778250652,0.11268690036881401,0.33806070110644204,False
exp1_rq1_real_vs_pooled_ml,sample_pairs,lsb,low,,,40,40,80,80,0.9674999999999999,1.0,-0.032500000000000084,0.023003622903070436,-0.07758710089001813,0.012587100890017966,-1.4128209342043296,0.1577083813525504,0.33806070110644204,False
exp2_rq2_mla_vs_mlb,chi_square_spatial,lsb,low,,,40,40,40,40,0.6425,0.69375,-0.05125000000000002,0.0865835708641642,-0.22095379889376185,0.11845379889376181,-0.5919136793330352,0.5539083931610742,1.0,False
exp2_rq2_mla_vs_mlb,rs,lsb,low,,,40,40,40,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
exp2_rq2_mla_vs_mlb,sample_pairs,lsb,low,,,40,40,40,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
exp3_rq3_payload_interaction,chi_square_spatial,lsb,low,ml_a,,,,,,,,,0.06312127115160841,0.5187823085428475,0.7662176914571525,,,,
exp3_rq3_payload_interaction,chi_square_spatial,lsb,low,ml_b,,,,,,,,,0.0592656719509268,0.5775892829761835,0.8099107170238165,,,,
exp3_rq3_payload_interaction,chi_square_spatial,lsb,low,real,,,,,,,,,0.058807595881257835,0.5847371120727346,0.8152628879272653,,,,
exp3_rq3_payload_interaction,rs,lsb,low,ml_a,,,,,,,,,0.0,1.0,1.0,,,,
exp3_rq3_payload_interaction,rs,lsb,low,ml_b,,,,,,,,,0.0,1.0,1.0,,,,
exp3_rq3_payload_interaction,rs,lsb,low,real,,,,,,,,,0.00945637757934173,0.9664654999444902,1.0035345000555098,,,,
exp3_rq3_payload_interaction,sample_pairs,lsb,low,ml_a,,,,,,,,,0.0,1.0,1.0,,,,
exp3_rq3_payload_interaction,sample_pairs,lsb,low,ml_b,,,,,,,,,0.0,1.0,1.0,,,,
exp3_rq3_payload_interaction,sample_pairs,lsb,low,real,,,,,,,,,0.023003622903070436,0.9224128991099818,1.012587100890018,,,,
exp5_rq5_plain_vs_encrypted,chi_square_spatial,lsb,low,ml_a,,20,20,20,20,0.6425,0.6425000000000001,-1.1102230246251565e-16,0.008885233166386626,-0.0174150570061179,0.017415057006117677,-1.2495147891280977e-14,0.99999999999999,,
exp5_rq5_plain_vs_encrypted,chi_square_spatial,lsb,low,ml_b,,20,20,20,20,0.69625,0.69125,0.0050000000000000044,0.007947194142390434,-0.010576500519085246,0.020576500519085255,0.6291528696058828,0.529248980665906,,
exp5_rq5_plain_vs_encrypted,chi_square_spatial,lsb,low,real,,20,20,20,20,0.7025,0.6975,0.0050000000000000044,0.007071067811865331,-0.008859292911256044,0.018859292911256053,0.7071067811865626,0.47950012218694416,,
exp5_rq5_plain_vs_encrypted,rs,lsb,low,ml_a,,20,20,20,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
exp5_rq5_plain_vs_encrypted,rs,lsb,low,ml_b,,20,20,20,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
exp5_rq5_plain_vs_encrypted,rs,lsb,low,real,,20,20,20,20,0.985,0.985,0.0,0.005129891760425774,-0.010054587850434516,0.010054587850434516,0.0,1.0,,
exp5_rq5_plain_vs_encrypted,sample_pairs,lsb,low,ml_a,,20,20,20,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
exp5_rq5_plain_vs_encrypted,sample_pairs,lsb,low,ml_b,,20,20,20,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
exp5_rq5_plain_vs_encrypted,sample_pairs,lsb,low,real,,20,20,20,20,0.9674999999999999,0.9674999999999999,0.0,0.0,0.0,0.0,0.0,1.0,,
exp5_rq5_source_x_encryption,chi_square_spatial,lsb,low,,,,,,,,,0.0025000000000000577,0.009248043889897658,-0.01562616602419935,0.020626166024199467,0.27032743678163096,0.7869083593356532,,
exp5_rq5_source_x_encryption,rs,lsb,low,,,,,,,,,0.0,0.005129891760425774,-0.010054587850434516,0.010054587850434516,0.0,1.0,,
exp5_rq5_source_x_encryption,sample_pairs,lsb,low,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,
