detector,method,payload_level,encryption,n_samples,n_pos,n_neg,roc_auc,eer,accuracy_at_youden_j,fpr_at_fixed_fnr
chi_square_spatial,lsb,low,encrypted,120,60,60,0.6683333333333333,0.4,0.6333333333333333,0.7333333333333333
chi_square_spatial,lsb,low,plain,120,60,60,0.6702777777777778,0.4,0.6416666666666667,0.7333333333333333
rs,lsb,low,encrypted,120,60,60,0.9977777777777778,0.03333333333333333,0.9833333333333333,0.0
rs,lsb,low,plain,120,60,60,0.9977777777777778,0.016666666666666666,0.9833333333333333,0.0
sample_pairs,lsb,low,encrypted,120,60,60,0.9861111111111112,0.016666666666666666,0.9833333333333333,0.016666666666666666
sample_pairs,lsb,low,plain,120,60,60,0.9861111111111112,0.016666666666666666,0.9833333333333333,0.016666666666666666
