experiment,detector,method,payload_level,auc_a,auc_b,diff,se,ci_lo,ci_hi,z,p,n_a,n_b,n_pos_a,n_neg_a,n_pos_b,n_neg_b,p_holm,significant_holm_0_05
exp1_rq1_real_vs_pooled_ml,chi_square_spatial,lsb,low,0.7,0.6578125,0.04218749999999993,0.07307629265180375,-0.10104203359753541,0.18541703359753528,0.5773076119366958,0.5637316724880572,80,160,40,40,80,80,0.5637316724880572,False
exp1_rq1_real_vs_pooled_ml,rs,lsb,low,0.985,1.0,-0.015000000000000013,0.00945637757934173,-0.0335345000555098,0.0035345000555097768,-1.5862310778250652,0.11268690036881401,80,160,40,40,80,80,0.33806070110644204,False
exp1_rq1_real_vs_pooled_ml,sample_pairs,lsb,low,0.9674999999999999,1.0,-0.032500000000000084,0.023003622903070436,-0.07758710089001813,0.012587100890017966,-1.4128209342043296,0.1577083813525504,80,160,40,40,80,80,0.33806070110644204,False
