detector,method,payload_level,encryption,n_samples,n_pos,n_neg,roc_auc,eer,accuracy_at_youden_j,fpr_at_fixed_fnr
chi_square_spatial,lsb,low,encrypted,120,60,60,0.6565277777777778,0.3333333333333333,0.675,0.7833333333333333
chi_square_spatial,lsb,low,plain,120,60,60,0.65375,0.3333333333333333,0.675,0.7833333333333333
rs,lsb,low,encrypted,120,60,60,0.9777777777777777,0.03333333333333333,0.9666666666666667,0.03333333333333333
rs,lsb,low,plain,120,60,60,0.9801388888888889,0.03333333333333333,0.975,0.03333333333333333
sample_pairs,lsb,low,encrypted,120,60,60,0.9986111111111111,0.016666666666666666,0.9833333333333333,0.0
sample_pairs,lsb,low,plain,120,60,60,0.9980555555555556,0.016666666666666666,0.9833333333333333,0.0
