group_id,source,method,payload_level,encryption,psnr,ssim,fsim
1,real,lsb,low,plain,57.134881634624115,0.998914174302881,
1,real,lsb,low,encrypted,57.14384785354481,0.9989181408327763,
1,ml_a,lsb,low,plain,57.141340722398496,0.9988299095523232,
1,ml_a,lsb,low,encrypted,57.161968559003846,0.9988343199558065,
1,ml_b,lsb,low,plain,57.14516797782363,0.9986316695753356,
1,ml_b,lsb,low,encrypted,57.13119503579935,0.9986324660100304,
2,real,lsb,low,plain,57.178302177998134,0.9984399403962831,
2,real,lsb,low,encrypted,57.1654160774365,0.9984375669920899,
2,ml_a,lsb,low,plain,57.19443037341098,0.9987167021329855,
2,ml_a,lsb,low,encrypted,57.16714086346272,0.998712765474318,
2,ml_b,lsb,low,plain,57.135540285279646,0.9982054687807084,
2,ml_b,lsb,low,encrypted,57.16501814715027,0.9982240095164603,
3,real,lsb,low,plain,57.19202734218732,0.9980064921028233,
3,real,lsb,low,encrypted,57.1554787422663,0.9979928807232641,
3,ml_a,lsb,low,plain,57.15230359131436,0.9991636977403043,
3,ml_a,lsb,low,encrypted,57.16647740315513,0.9991628262196727,
3,ml_b,lsb,low,plain,57.16687546717694,0.9992430571374773,
3,ml_b,lsb,low,encrypted,57.18749190780248,0.9992511916009957,
4,real,lsb,low,plain,57.17604102418923,0.998750274023571,
4,real,lsb,low,encrypted,57.15243584293424,0.998745275968997,
4,ml_a,lsb,low,plain,57.15058468664296,0.9987032067853385,
4,ml_a,lsb,low,encrypted,57.16700816329254,0.9987049474549945,
4,ml_b,lsb,low,plain,57.15256809858157,0.9980923851495487,
4,ml_b,lsb,low,encrypted,57.18842528659158,0.9981130591367963,
5,real,lsb,low,plain,57.16064331874486,0.9996413815145319,
5,real,lsb,low,encrypted,57.14820578737948,0.9996414108485402,
5,ml_a,lsb,low,plain,57.176572954475766,0.9991872291740105,
5,ml_a,lsb,low,encrypted,57.15243584293424,0.9991803652050012,
5,ml_b,lsb,low,plain,57.168999091714376,0.9993298065787453,
5,ml_b,lsb,low,encrypted,57.15151016615795,0.9993288343487013,
6,real,lsb,low,plain,57.15839133797413,0.9997212070583854,
6,real,lsb,low,encrypted,57.17471148344134,0.999724284364761,
6,ml_a,lsb,low,plain,57.147941545657574,0.999006222767121,
6,ml_a,lsb,low,encrypted,57.14411184630029,0.9990062582416263,
6,ml_b,lsb,low,plain,57.17471148344134,0.9993236771367091,
6,ml_b,lsb,low,encrypted,57.16554872896811,0.9993205755549669,
7,real,lsb,low,plain,57.14186841921798,0.9992500466787604,
7,real,lsb,low,encrypted,57.16249876835856,0.999257475771409,
7,ml_a,lsb,low,plain,57.190159236727396,0.9987358725485485,
7,ml_a,lsb,low,encrypted,57.146884739515585,0.9987161615243931,
7,ml_b,lsb,low,plain,57.14397984791664,0.9983993321076352,
7,ml_b,lsb,low,encrypted,57.1736481438219,0.9984069964235613,
8,real,lsb,low,plain,57.16210110527414,0.9996283983240063,
8,real,lsb,low,encrypted,57.14926291507143,0.9996244657664975,
8,ml_a,lsb,low,plain,57.18003209031697,0.998961819145886,
8,ml_a,lsb,low,encrypted,57.1687335818519,0.998959577178988,
8,ml_b,lsb,low,plain,57.162631330812026,0.9985952731719159,
8,ml_b,lsb,low,encrypted,57.160378319213464,0.9985959926207852,
9,real,lsb,low,plain,57.16780442514089,0.9985061409024323,
9,real,lsb,low,encrypted,57.19109318901232,0.9985185854255968,
9,ml_a,lsb,low,plain,57.16661008710848,0.9984895562320567,
9,ml_a,lsb,low,encrypted,57.15958341762452,0.9984859263528763,
9,ml_b,lsb,low,plain,57.19723559139141,0.9985895312209656,
9,ml_b,lsb,low,encrypted,57.17019408700972,0.998584119858615,
10,real,lsb,low,plain,57.18882536748904,0.9986199783209744,
10,real,lsb,low,encrypted,57.164885511823584,0.998614517011138,
